Species,Total,Organism Type,Terrier Unknown,Terrier DNA,Terrier LTR,Terrier LINE,Terrier Other,RepeatModeler Unknown,RepeatModeler LINE,RepeatModeler DNA,RepeatModeler LTR,RepeatModeler Simple_repeat,RepeatModeler SINE,RepeatModeler Satellite,RepeatModeler tRNA,RepeatModeler RC,RepeatModeler rRNA,RepeatModeler snRNA,RepeatModeler PLE,RepeatModeler SINE?,RepeatModeler Retroposon,RepeatModeler Other
Lithobates catesbeianus,3335,Amphibian,1193,886,811,300,145,2496,344,256,223,4.0,5,3.0,,2.0,,,1.0,1.0,,
Glandirana rugosa,3128,Amphibian,1106,772,796,289,165,2332,365,241,174,3.0,5,3.0,2.0,1.0,,,2.0,,,
Phrynoglossus myanhessei,3052,Amphibian,1161,815,646,256,174,2341,294,288,109,1.0,9,5.0,,2.0,,,2.0,,1.0,
Rana kukunoris,3032,Amphibian,1025,883,723,274,127,2253,337,269,156,3.0,4,2.0,,2.0,,1.0,4.0,,1.0,
Geotrypetes seraphini,3019,Amphibian,1159,657,659,444,100,2104,539,244,101,1.0,21,,1.0,6.0,1.0,,1.0,,,
Rana temporaria,2908,Amphibian,973,898,694,244,99,2224,260,261,147,5.0,7,,1.0,2.0,,,1.0,,,
Allobates femoralis,2883,Amphibian,985,775,776,178,169,2218,242,243,148,4.0,7,4.0,,11.0,2.0,,4.0,,,
Eleutherodactylus coqui,2774,Amphibian,959,738,707,236,134,2049,274,286,130,4.0,3,,,19.0,7.0,,2.0,,,
Lithobates sylvaticus,2769,Amphibian,924,808,668,241,128,2120,285,220,129,2.0,4,,,3.0,,1.0,4.0,,1.0,
Bombina variegata,2747,Amphibian,992,697,561,273,224,1958,423,189,161,8.0,5,1.0,1.0,1.0,,,,,,
Oophaga pumilio,2694,Amphibian,934,665,759,159,177,2010,198,240,223,5.0,1,1.0,,7.0,8.0,,1.0,,,
Limnodynastes dumerilii,2625,Amphibian,912,628,739,191,155,2089,246,139,130,5.0,9,2.0,,3.0,,1.0,1.0,,,
Nanorana parkeri,2591,Amphibian,937,728,615,215,96,1988,238,233,111,8.0,2,3.0,2.0,2.0,,1.0,2.0,,1.0,
Microcaecilia unicolor,2581,Amphibian,906,585,621,370,99,1847,462,117,122,2.0,18,,1.0,9.0,1.0,,1.0,1.0,,
Bufo bufo,2553,Amphibian,880,729,624,184,136,1857,274,220,179,2.0,6,2.0,1.0,3.0,6.0,2.0,,1.0,,
Rhinatrema bivittatum,2546,Amphibian,825,558,773,320,70,1843,370,111,173,5.0,20,,1.0,8.0,14.0,,,1.0,,
Scaphiopus holbrookii,2516,Amphibian,958,435,771,255,97,1771,334,171,185,9.0,11,7.0,14.0,3.0,1.0,1.0,4.0,4.0,1.0,
Mantella aurantiaca,2515,Amphibian,964,604,593,158,196,2037,177,153,122,6.0,9,6.0,1.0,4.0,,,,,,
Staurois parvus,2487,Amphibian,892,642,630,195,128,1908,216,198,148,4.0,5,2.0,,1.0,3.0,1.0,1.0,,,
Bufo gargarizans,2418,Amphibian,806,652,616,190,154,1766,257,217,152,2.0,13,2.0,,1.0,5.0,1.0,1.0,1.0,,
Scaphiopus couchii,2385,Amphibian,934,367,760,246,78,1684,310,165,196,11.0,9,2.0,2.0,2.0,,,4.0,,,
Pipa carvalhoi,2329,Amphibian,773,536,717,180,123,1797,256,137,128,6.0,1,1.0,,1.0,,,1.0,1.0,,
Hyalinobatrachium fleischmanni,2310,Amphibian,739,720,560,172,119,1721,226,221,120,2.0,6,4.0,2.0,3.0,5.0,,,,,
Leptobrachium leishanense,2285,Amphibian,762,566,638,174,145,1740,209,167,150,4.0,3,1.0,4.0,7.0,,,,,,
Dendropsophus ebraccatus,2242,Amphibian,828,660,513,129,112,1797,181,180,67,2.0,4,3.0,1.0,1.0,3.0,1.0,2.0,,,
Rana muscosa,2231,Amphibian,706,685,536,222,82,1628,233,219,140,1.0,6,1.0,,,1.0,1.0,1.0,,,
Leptobrachium ailaonicum,2226,Amphibian,739,535,618,180,154,1713,176,161,149,5.0,4,2.0,6.0,7.0,,1.0,1.0,,1.0,
Pelobates cultripes,2186,Amphibian,684,507,644,227,124,1599,267,158,126,9.0,11,4.0,2.0,1.0,3.0,1.0,3.0,,2.0,
Ambystoma mexicanum,2186,Amphibian,647,503,705,274,57,1524,309,80,236,,23,1.0,,10.0,1.0,,2.0,,,
Engystomops pustulosus,2164,Amphibian,731,590,498,184,161,1612,261,179,85,4.0,8,5.0,2.0,2.0,5.0,,1.0,,,
Gastrophryne carolinensis,2108,Amphibian,746,484,622,179,77,1590,197,132,165,,8,,5.0,6.0,1.0,1.0,2.0,1.0,,
Hyla sarda,2107,Amphibian,713,611,483,142,158,1535,215,240,88,2.0,9,3.0,1.0,4.0,7.0,,3.0,,,
Platyplectrum ornatum,2084,Amphibian,756,508,519,193,108,1615,257,118,76,6.0,4,2.0,,3.0,2.0,1.0,,,,
Hymenochirus boettgeri,2083,Amphibian,679,543,524,145,192,1592,247,106,111,6.0,6,4.0,2.0,6.0,,1.0,2.0,,,
Rhinella marina,2080,Amphibian,722,645,478,126,109,1588,180,203,80,3.0,11,2.0,4.0,1.0,5.0,1.0,1.0,1.0,,
Pipa parva,2032,Amphibian,676,541,533,169,113,1548,204,197,70,3.0,1,4.0,,5.0,,,,,,
Ranitomeya imitator,1998,Amphibian,640,594,528,96,140,1479,132,217,151,2.0,3,3.0,1.0,4.0,2.0,1.0,3.0,,,
Discoglossus pictus,1929,Amphibian,683,491,501,188,66,1479,204,117,95,12.0,5,4.0,1.0,6.0,1.0,2.0,1.0,,2.0,
Phyllomedusa bahiana,1919,Amphibian,595,534,482,135,173,1387,199,186,132,2.0,5,3.0,,3.0,,,2.0,,,
Pseudophryne corroboree,1912,Amphibian,680,612,423,113,84,1433,172,142,129,1.0,20,3.0,3.0,6.0,1.0,2.0,,,,
Leptodactylus fallax,1870,Amphibian,636,521,494,124,95,1395,161,194,101,6.0,5,2.0,2.0,2.0,,1.0,,1.0,,
Oophaga sylvatica,1844,Amphibian,612,526,503,107,96,1335,147,207,135,2.0,2,5.0,2.0,6.0,2.0,,1.0,,,
Xenopus borealis,1824,Amphibian,527,480,518,148,151,1356,249,86,124,1.0,6,,,1.0,,,1.0,,,
Xenopus laevis,1784,Amphibian,534,481,466,144,159,1313,268,89,98,2.0,7,2.0,,5.0,,,,,,
Pyxicephalus adspersus,1769,Amphibian,622,510,375,167,95,1296,169,192,95,3.0,2,2.0,1.0,6.0,3.0,,,,,
Bombina bombina,1752,Amphibian,556,520,386,144,146,1207,274,130,118,5.0,9,1.0,2.0,3.0,,1.0,2.0,,,
Spea multiplicata,1677,Amphibian,525,449,477,169,57,1185,197,158,110,2.0,8,3.0,8.0,2.0,2.0,2.0,,,,
Xenopus tropicalis,1661,Amphibian,468,517,444,125,107,1245,206,109,82,3.0,9,4.0,,2.0,1.0,,,,,
Spea bombifrons,1627,Amphibian,530,425,478,130,64,1158,161,165,107,5.0,12,3.0,6.0,2.0,3.0,3.0,2.0,,,
Spea hammondii,1534,Amphibian,508,421,431,128,46,1069,169,162,103,7.0,10,3.0,6.0,1.0,2.0,,,1.0,1.0,
Pleurodeles waltl,1499,Amphibian,489,364,426,161,59,1046,205,73,145,2.0,14,3.0,3.0,2.0,3.0,,2.0,1.0,,
Dicrocoelium dendriticum,1534,Flatworm,555,303,437,171,68,870,334,140,176,1.0,3,,1.0,5.0,3.0,1.0,,,,
Fasciola hepatica,1530,Flatworm,545,258,507,171,49,878,332,76,226,3.0,6,1.0,3.0,4.0,1.0,,,,,
Schistosoma japonicum,998,Flatworm,415,232,233,64,54,687,184,43,69,3.0,1,,3.0,,5.0,3.0,,,,
Fasciolopsis buski,942,Flatworm,358,129,278,126,51,510,258,48,116,3.0,4,,1.0,,2.0,,,,,
Clonorchis sinensis,871,Flatworm,317,132,280,74,68,544,189,29,99,2.0,7,,,,,,,,,1.0
Schistosoma mansoni,866,Flatworm,337,197,240,39,53,610,112,25,89,,11,,13.0,1.0,5.0,,,,,
Schistosoma haematobium,826,Flatworm,354,164,225,42,41,590,110,29,72,1.0,7,1.0,10.0,1.0,4.0,,,1.0,,
Trichobilharzia regenti,820,Flatworm,312,217,161,50,80,500,192,23,60,1.0,16,,12.0,6.0,9.0,1.0,,,,
