File,Filesize,Category,Filesize (MB),Sequences,Terrier GPU,Terrier CPU,DeepTE GPU,DeepTE CPU,TERL GPU,TERL CPU
Clonorchis_sinensis.fa,832917,Flatworm,0.832917,963,12.05,138.70,43.96,40.06,11.22,5.96
Dicrocoelium_dendriticum.fa,1675601,Flatworm,1.675601,1768,16.21,249.74,45.02,66.71,8.19,9.76
Fasciola_hepatica.fa,1736252,Flatworm,1.736252,1782,16.11,267.84,45.85,66.92,8.17,9.99
Fasciolopsis_buski.fa,1065095,Flatworm,1.065095,1064,12.57,169.97,33.99,42.94,8.15,6.51
Schistosoma_haematobium.fa,810039,Flatworm,0.810039,962,11.51,131.74,32.61,39.72,7.93,5.87
Schistosoma_japonicum.fa,1083882,Flatworm,1.083882,1147,12.64,169.61,35.19,45.16,7.99,7
Schistosoma_mansoni.fa,986959,Flatworm,0.986959,1038,11.88,155.80,33.2,41.68,7.98,6.31
Trichobilharzia_regenti.fa,1106162,Flatworm,1.106162,980,11.76,165.26,32.8,40.23,8.02,5.95
Allobates_femoralis.fa,2481867,Amphibian,2.481867,3518,23.72,415.9,73.36,124.26,9.84,18.41
Ambystoma_mexicanum.fa,2675142,Amphibian,2.675142,2494,20.66,428.51,59.15,93.07,8.37,13.29
Bombina_bombina.fa,1887354,Amphibian,1.887354,2068,17.45,297.53,50.15,76.81,8.22,11.28
Bombina_variegata.fa,2183257,Amphibian,2.183257,3397,22.49,351.79,71.73,120.09,8.53,17.24
Bufo_bufo.fa,2255508,Amphibian,2.255508,3202,21.89,353.4,70.13,116.21,8.29,16.65
Bufo_gargarizans.fa,2183609,Amphibian,2.183609,3094,20.91,323.6,67.41,111.6,8.4,16.32
Dendropsophus_ebraccatus.fa,1805360,Amphibian,1.80536,2911,19.53,328.64,63.68,105.84,8.3,15.25
Discoglossus_pictus.fa,1808991,Amphibian,1.808991,2396,18.58,283.74,55.84,87.41,8.85,12.83
Eleutherodactylus_coqui.fa,2083809,Amphibian,2.083809,3694,22.78,382.47,75.62,131.11,8.84,18.81
Engystomops_pustulosus.fa,1883999,Amphibian,1.883999,2730,19.72,292.46,61.66,99.55,8.32,14.67
Gastrophryne_carolinensis.fa,1914440,Amphibian,1.91444,2644,19.66,347.38,59.84,96.73,8.32,13.86
Geotrypetes_seraphini.fa,2296209,Amphibian,2.296209,3778,24.32,393.94,76.55,132.78,8.4,19.6
Glandirana_rugosa.fa,2556314,Amphibian,2.556314,3837,25.23,404.97,79.12,136.62,8.59,19.72
Hyalinobatrachium_fleischmanni.fa,2042768,Amphibian,2.042768,2943,20.79,362.71,65.21,106.39,8.49,15.16
Hyla_sarda.fa,1783701,Amphibian,1.783701,2657,19.25,502.12,61.12,95.78,8.35,14.36
Hymenochirus_boettgeri.fa,1723253,Amphibian,1.723253,2627,19.14,379.28,59.04,94.44,9.19,14.01
Leptobrachium_ailaonicum.fa,1860937,Amphibian,1.860937,2709,20.18,323.95,59.52,97.4,8.32,14.19
Leptobrachium_leishanense.fa,1932566,Amphibian,1.932566,2705,20.49,333.65,60.97,98.45,8.3,14.15
Leptodactylus_fallax.fa,1595185,Amphibian,1.595185,2555,17.98,252.41,57.25,91.88,8.23,13.71
Limnodynastes_dumerilii.fa,2147514,Amphibian,2.147514,3443,23.27,446.54,70.95,121.06,8.4,18.13
Lithobates_catesbeianus.fa,2769918,Amphibian,2.769918,4067,26.52,460.95,83.39,143.16,8.64,20.77
Lithobates_sylvaticus.fa,2500122,Amphibian,2.500122,3388,23.39,441.63,71.8,121.54,8.5,17.46
Mantella_aurantiaca.fa,2047813,Amphibian,2.047813,3100,21.72,345.47,66.14,109.65,8.41,16.15
Microcaecilia_unicolor.fa,2146780,Amphibian,2.14678,3127,22.25,382.91,67.88,112.69,9.4,16.24
Nanorana_parkeri.fa,1906118,Amphibian,1.906118,3396,21.72,394.70,70.87,119.33,8.44,17.53
Oophaga_pumilio.fa,2062035,Amphibian,2.062035,3558,22.53,344.89,74.05,125.34,8.48,18.68
