file,accession,prediction,probability,original_id,original_classification,DNA,LTR,LINE,SINE,Satellite,Structural_RNA,RC,PLE,Other,DNA/TcMar,DNA/PiggyBac,DNA/hAT,DNA/Merlin,DNA/MULE,DNA/Maverick,DNA/Kolobok,DNA/CMC,DNA/P,DNA/Harbinger,DNA/Dada,DNA/Crypton,DNA/Sola,DNA/Zator,DNA/Academ,DNA/IS3EU,DNA/Zisupton,DNA/Ginger,DNA/Novosib,LTR/ERV,LTR/Gypsy,LTR/DIRS,LTR/Pao,LTR/Copia,LTR/Caulimovirus,LINE/L1,LINE/R2,LINE/CR1,LINE/R1,LINE/I,LINE/RTE,LINE/Rex-Babar,LINE/Dong-R4,LINE/L2,LINE/Proto2,LINE/CRE,LINE/Dualen,LINE/Proto1,LINE/Tad1,SINE/7SL,SINE/tRNA,SINE/5S,SINE/U,RC/Helitron
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-110,DNA/Dada,0.9287188053131104,rnd-1_family-110#Unknown,Unknown,0.9826727,0.013764744,0.0027495483,5.614552e-07,0.00017873854,9.4862694e-11,0.00021063098,0.00042295086,8.86605e-12,0.0013141955,0.00071681786,0.0015183866,1.9945168e-07,1.7391196e-05,7.246518e-05,0.039973248,5.2153267e-05,0.00014074965,0.0083283,0.9287188,0.0008933296,2.2549393e-06,2.2230887e-07,2.6783395e-05,0.00023097418,0.00065839844,8.028056e-06,9.497143e-10,0.004396992,0.0076797674,0.0014824081,9.557365e-05,0.00011000144,1.0547958e-09,7.757841e-05,5.0638546e-06,7.1571165e-05,1.1987387e-08,2.4216057e-05,4.6908917e-05,0.00037145632,1.7504717e-10,0.0021450045,7.1587438e-06,1.5622885e-07,1.6164957e-11,1.209981e-19,4.2200213e-07,6.078959e-11,5.5696546e-07,4.4122763e-09,1.6649217e-11,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-80,DNA/TcMar,0.7209540009498596,rnd-1_family-80#Unknown,Unknown,0.9986766,0.0012250245,2.1227228e-05,5.932349e-14,1.942804e-08,7.405371e-20,9.672486e-06,6.755501e-05,2.2276158e-14,0.720954,4.160658e-08,0.2162299,7.766925e-11,0.0010373072,0.0039914353,0.00022873314,0.05447236,4.3652273e-07,0.0017390524,4.3869175e-12,1.2957211e-06,4.08882e-06,9.333889e-10,2.9670198e-07,1.7526934e-05,1.8195633e-17,1.5142209e-07,2.4541112e-16,1.1207397e-12,0.000769593,1.6150052e-11,0.00045470337,7.280987e-07,6.7431347e-17,3.6807103e-07,1.2376792e-09,1.3580757e-05,1.0428292e-12,1.1791335e-09,4.4719372e-06,4.286511e-13,5.1672486e-12,2.8024888e-06,1.812922e-10,6.432714e-10,1.0459461e-21,3.332411e-23,7.266149e-10,1.5506506e-22,5.932349e-14,1.28028275e-23,7.0531214e-29,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-63,LTR/ERV,0.5088055729866028,rnd-1_family-63#Unknown,Unknown,0.048298854,0.78284043,0.14725143,3.6601097e-05,0.019816158,0.0001479194,0.0005440152,0.0010647471,3.447736e-11,0.0013122743,0.008083226,0.0067499117,1.8835215e-07,0.0014169704,5.486912e-05,0.00027359262,0.0010614297,3.0020472e-05,0.004843361,0.019037377,0.0049666795,2.582777e-06,3.7237552e-10,0.00033431555,5.4072054e-05,7.763628e-05,6.365964e-08,2.8117108e-07,0.5088056,0.26561862,0.002139949,0.004278533,0.0019976425,5.8989688e-08,0.010485858,0.09431299,0.01410156,9.728569e-05,0.00058262405,0.0061572497,0.0066517615,4.1372325e-05,0.014441712,5.5924895e-05,0.00017473505,4.191688e-06,4.894464e-16,0.000144162,1.4320054e-07,2.641671e-05,9.948196e-06,9.298885e-08,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-218,DNA/Dada,0.2080838680267334,rnd-1_family-218#Unknown,Unknown,0.7512987,0.14116189,0.099720925,2.1666337e-06,8.125435e-05,2.671607e-09,0.0041260375,0.0036090119,3.956034e-11,0.04243035,0.09723885,0.17128596,5.624338e-05,0.0017065104,0.012453186,0.008390436,0.010856414,0.02593903,0.09620247,0.20808387,0.048274133,0.00022735489,1.6390624e-05,0.009401933,0.006388563,0.012323253,2.3754561e-05,1.904247e-09,0.048063777,0.08270229,0.009600423,0.0005611112,0.00023429841,2.352955e-09,0.0010175218,1.2138682e-05,0.0055174204,1.0177182e-06,0.00021488564,0.0035699767,0.0004870005,7.330324e-10,0.067087725,0.021810772,1.1687575e-06,9.0728244e-11,6.1767313e-18,1.3014605e-06,2.5827013e-10,1.3031552e-06,8.6198554e-07,1.2345504e-09,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-19,LTR/ERV,0.7495709657669067,rnd-1_family-19#DNA/TcMar-Tc2,DNA/TcMar-Tc2,0.012708897,0.7806023,0.20425461,0.0004942477,0.0013297861,7.885271e-09,0.0004446921,0.00016551245,2.3607787e-09,0.00048170792,1.8813818e-05,0.0014954578,5.987203e-10,3.6914513e-05,8.0451815e-07,1.8242075e-05,0.00039505283,0.00014970195,0.009893507,8.573338e-06,4.4197324e-05,2.8186298e-07,3.7651483e-11,0.00016540245,4.4130512e-11,9.972759e-08,2.6116373e-10,1.3982294e-07,0.74957097,0.010435688,0.019204548,0.0002387986,0.0011523019,2.4062363e-09,0.17878602,0.0034288713,0.0008350191,0.0029746403,0.004520244,0.0007585373,6.6820644e-06,2.8515684e-08,0.0004171973,4.150104e-06,0.0011211715,0.008269291,2.7216496e-10,0.003132748,1.5133887e-07,0.00047403446,6.9456028e-06,1.3116294e-05,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-223,DNA/Dada,0.8166549801826477,rnd-1_family-223#Unknown,Unknown,0.84702843,0.10612173,0.023237845,1.1199551e-05,0.0012500235,1.2116954e-08,0.020353949,0.001996635,1.2218192e-07,0.001739145,0.003410599,0.0032252048,5.6002165e-07,0.00026286527,0.000118835385,0.008200279,0.0016065025,0.0011131207,0.00073998224,0.816655,0.0010916644,0.0002569497,9.591715e-05,0.00021322649,0.00013699135,0.008007246,0.00015427165,1.79783e-07,0.013372485,0.03760008,0.042325605,0.0076137595,0.0051888283,2.0972433e-05,0.0028808732,0.0001540155,0.0020405522,4.5672627e-05,0.00038220474,0.00017941052,0.00850415,5.3037945e-07,0.00781607,0.0010912606,0.000105905725,7.0101315e-08,1.8471787e-13,3.712836e-05,1.8189553e-07,8.993377e-06,1.9829401e-06,4.1339263e-08,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-114,LTR/ERV,0.9829918742179871,rnd-1_family-114#Unknown,Unknown,0.0012592596,0.99607337,0.0024914136,1.1863722e-09,2.652402e-05,3.75994e-10,8.684595e-06,0.00014083314,8.534178e-09,6.026838e-05,1.5800458e-06,5.3907365e-06,1.7467093e-08,4.659312e-05,0.0011354968,7.3647934e-06,2.2332424e-06,4.3636135e-09,5.049251e-08,1.7921126e-08,5.9157825e-09,5.047662e-08,4.1672728e-11,1.7929614e-07,4.151054e-09,1.0804349e-09,1.4057783e-09,2.1214695e-13,0.9829919,0.010564919,4.8844554e-06,4.4260076e-05,0.0024672344,6.682998e-08,0.0012592338,2.2386664e-06,1.7923197e-05,1.8675002e-05,0.0002487067,0.00067003164,1.7496404e-07,2.610086e-07,4.2838594e-05,1.16779875e-08,1.4738558e-08,3.1139728e-06,4.508018e-11,0.00022818953,7.270075e-14,1.1855557e-09,7.0499205e-13,3.8994226e-14,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-166,DNA/hAT,0.9999955892562866,rnd-1_family-166#Unknown,Unknown,1.0,7.2070944e-10,1.1426037e-09,6.250308e-10,1.315004e-08,1.1937063e-15,5.492629e-08,1.5785344e-12,1.4914347e-22,7.100936e-09,1.9444717e-12,0.9999956,6.7724164e-12,2.518276e-10,7.092241e-18,1.6335235e-11,3.576622e-12,5.8421823e-10,4.231851e-06,1.418467e-18,1.4744813e-07,4.1941247e-15,1.5906978e-13,7.3063664e-15,1.6672397e-14,6.4947536e-21,5.022789e-17,2.8545914e-11,3.2931163e-10,2.2439611e-10,1.6693635e-10,3.131808e-15,6.221306e-14,1.1725023e-22,1.1373238e-09,9.8100146e-17,4.9202625e-12,5.152959e-16,1.9342321e-13,6.8483474e-14,3.731406e-19,8.952223e-22,9.277857e-14,2.361809e-15,1.889121e-15,1.365301e-21,2.9646026e-24,2.2760629e-17,2.4132253e-13,6.2365524e-10,1.7412634e-15,1.132493e-12,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-224,Satellite,0.542983889579773,rnd-1_family-224#Unknown,Unknown,0.45192423,0.005090787,6.952694e-07,2.7453536e-13,0.5429839,1.1135901e-24,3.6879592e-07,1.3182632e-09,2.5440847e-27,5.7125753e-06,2.9730676e-05,0.0024983578,4.0741667e-11,1.0289379e-08,5.3155196e-11,0.4493898,1.9382562e-10,7.879182e-10,4.185963e-08,1.3211192e-12,3.07039e-07,7.74717e-12,3.5725218e-13,2.1935596e-11,2.865906e-07,1.6259259e-15,4.317021e-11,5.9759553e-22,0.00025152514,0.004838812,4.9438857e-09,9.407985e-12,4.4496477e-07,3.5231339e-19,6.949369e-07,3.1874866e-13,5.677867e-13,3.4892864e-15,1.3537203e-12,4.9857278e-11,1.3826335e-12,5.7469867e-21,2.7901026e-10,1.2965085e-18,3.699127e-14,1.6296766e-25,3.504244e-35,8.216669e-16,3.496642e-19,2.74535e-13,1.5242758e-22,1.8434504e-24,0.0
../amphibians/dendropsophus_ebraccatus-families.fa,rnd-1_family-126,LTR/Gypsy,0.3995669186115265,rnd-1_family-126#Unknown,Unknown,0.018963475,0.5025534,0.124414094,0.2558273,0.0003685732,0.08749262,0.006284919,0.00409559,6.705722e-08,0.0012247792,0.0018967084,0.0021008279,2.4122944e-06,0.0026536698,0.0005270504,6.017379e-05,0.0012808472,0.0001366093,0.0015782156,4.2185686e-05,0.0064922967,5.734693e-05,2.0390948e-08,0.0007863073,5.0151517e-08,5.1077357e-05,1.2176439e-07,7.277607e-05,0.045680262,0.39956692,0.014548477,0.010113192,0.03264417,3.9444538e-07,0.012026303,0.07311564,0.001599513,0.025261302,0.0010672447,0.0019479656,2.887709e-05,0.0015711666,0.0005183533,0.00016387593,0.0011887063,0.0010253955,1.072204e-08,0.004899738,0.016980054,0.20761448,0.02448405,0.006748723,0.0
