file,accession,prediction,probability,original_id,original_classification,DNA,LTR,LINE,SINE,Satellite,Structural_RNA,RC,PLE,Other,DNA/TcMar,DNA/PiggyBac,DNA/hAT,DNA/Merlin,DNA/MULE,DNA/Maverick,DNA/Kolobok,DNA/CMC,DNA/P,DNA/Harbinger,DNA/Dada,DNA/Crypton,DNA/Sola,DNA/Zator,DNA/Academ,DNA/IS3EU,DNA/Zisupton,DNA/Ginger,DNA/Novosib,LTR/ERV,LTR/Gypsy,LTR/DIRS,LTR/Pao,LTR/Copia,LTR/Caulimovirus,LINE/L1,LINE/R2,LINE/CR1,LINE/R1,LINE/Jockey-I,LINE/RTE,LINE/Rex-Babar,LINE/Dong-R4,LINE/L2,LINE/Proto2,LINE/CRE,LINE/Dualen,LINE/Proto1,LINE/Tad1,SINE/7SL,SINE/tRNA,SINE/5S,SINE/U,RC/Helitron
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-0,LTR/Gypsy,0.4555794894695282,rnd-1_family-0#Unknown,Unknown,0.21946436,0.6666958,0.08371187,0.0072309463,0.009284409,0.00013960441,0.0043611345,0.0091094095,2.5447564e-06,0.02507487,0.010227082,0.028146252,0.0026745237,0.020591345,0.0073389835,0.001119256,0.013920741,0.0033553306,0.023783239,0.00931401,0.043941777,0.0014820765,5.3497024e-05,0.014789828,0.003121713,0.009575181,0.0009398817,1.4782338e-05,0.16724417,0.4555795,0.004491554,0.029525794,0.009617871,0.00023690664,0.011170266,0.004399731,0.007392381,0.00091901154,0.008394611,0.0062360372,0.0029262498,0.00055630825,0.039704535,0.0009206344,0.00039458662,1.6413864e-05,1.1399217e-09,0.000681097,0.00014130765,0.0058382293,0.0011491992,0.00010220977,0.0043611345
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-14,LTR/Gypsy,0.8721275925636292,rnd-1_family-14#Unknown,Unknown,0.042951576,0.8851858,0.06284358,6.2503744e-08,1.6464577e-05,1.5752262e-08,0.0018908848,0.0070603155,5.1297153e-05,0.011429821,0.00085885223,0.0031271377,3.6430117e-06,0.0022634824,0.0012760838,0.0018390665,0.0014529593,0.00013106072,0.0056896126,2.8222677e-05,0.0001244545,0.0071619325,0.00029800806,0.0068390984,0.00030850907,3.5548903e-06,0.0001160621,1.3339778e-08,0.00010928366,0.8721276,0.00041590355,0.007487057,0.005036654,9.4052975e-06,0.0019319349,0.00027184354,0.01324028,0.0002593853,0.00010507924,0.03997778,0.0010887544,0.00045099022,0.002507777,0.0027812924,0.00017246288,4.403223e-07,6.7236414e-07,5.489561e-05,1.2856461e-09,6.0875315e-08,3.374362e-10,5.341942e-12,0.0018908848
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-96,LTR/Gypsy,0.7394898533821106,rnd-1_family-96#Unknown,Unknown,0.010125326,0.9877699,0.0012356553,1.4694409e-07,1.0767604e-06,1.3846997e-09,0.00076157664,0.000106330794,1.0503448e-08,0.0020921011,1.8448837e-07,0.000110375106,5.8855463e-08,0.00017903317,0.0066489372,1.8074218e-06,0.00052009756,3.3808906e-06,0.0005485221,2.6706255e-06,3.989647e-06,2.2811231e-07,1.5239435e-10,8.785804e-06,5.052533e-06,2.6877366e-08,7.429392e-08,9.0199844e-17,1.9054918e-06,0.73948985,2.0265718e-06,0.16971819,0.07855729,7.346543e-07,2.379884e-07,5.103231e-09,0.001203935,3.3325712e-08,2.4914345e-07,2.545401e-06,8.1784096e-10,9.505452e-10,2.8518223e-05,7.339076e-08,5.1833606e-08,2.8092897e-17,3.524987e-15,4.164532e-09,6.7566227e-13,1.46927e-07,1.6414602e-11,8.9106304e-17,0.00076157664
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-44,LTR/Gypsy,0.6128731966018677,rnd-1_family-44#Unknown,Unknown,0.0032347646,0.9959592,0.00042532507,1.455662e-06,6.0455604e-06,2.8101812e-08,9.567437e-05,0.00027754615,1.207817e-11,0.00044420513,4.571967e-05,0.0005664093,4.84458e-06,0.0004454175,6.058579e-06,0.00061274297,0.0003649982,4.634561e-06,0.000607468,7.65126e-05,1.4946484e-05,4.5970996e-06,1.35010705e-08,1.7368593e-05,1.8073539e-05,3.334588e-08,7.1902576e-07,1.7461715e-09,0.07805521,0.6128732,3.4415476e-05,0.28192982,0.023060162,6.461052e-06,0.00016990397,1.8177623e-06,6.601669e-05,1.2184469e-06,1.1800467e-05,6.051617e-05,3.3543247e-06,1.1630038e-06,0.000107816326,7.949648e-07,2.4514972e-07,1.02636095e-08,1.0687049e-12,6.675532e-07,8.983851e-09,1.4459343e-06,6.1524885e-10,1.285621e-10,9.567437e-05
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-84,LINE/CR1,0.9999103546142578,rnd-1_family-84#LINE/CR1,LINE/CR1,1.2101922e-05,2.0179787e-07,0.9999877,6.1042874e-19,3.0064867e-11,1.4408062e-23,2.5262734e-08,4.398621e-09,3.682054e-13,9.639896e-10,2.5372137e-12,1.0016948e-09,1.8513669e-17,2.8555025e-08,1.2055606e-05,6.7561473e-10,7.1116237e-09,8.0367246e-10,6.6916424e-09,3.3587625e-12,6.7731983e-12,6.777075e-12,2.1239665e-14,4.2440967e-10,6.830284e-11,1.3309701e-15,5.6279296e-15,2.1084823e-22,6.9969035e-09,1.5300107e-07,4.247203e-10,9.686518e-10,4.040611e-08,4.3818248e-13,1.3897404e-07,1.9183878e-08,0.99991035,3.1044545e-10,5.8880405e-06,2.2216826e-05,4.0205763e-09,1.3813438e-12,4.9183684e-05,1.0935398e-08,1.15200115e-11,2.412663e-16,1.5290257e-12,5.386407e-10,1.8709198e-27,6.0929633e-19,1.1322397e-21,2.2481335e-25,2.5262734e-08
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-13,SINE/tRNA,0.9999194145202637,rnd-1_family-13#LTR/Gypsy,LTR/Gypsy,4.948645e-06,1.9665547e-06,1.1846233e-05,0.9999194,5.5405962e-08,6.184258e-05,5.2136146e-11,1.5294538e-12,1.083188e-25,1.845093e-06,8.057009e-09,1.5404631e-06,7.8896435e-15,1.4508228e-07,1.8846493e-09,1.179924e-08,1.071322e-06,4.5039923e-11,1.4194808e-08,2.0258807e-07,4.6397265e-08,2.0836181e-10,2.3200412e-10,6.126437e-08,1.4143592e-12,1.1651973e-11,2.6663209e-17,1.3281493e-14,2.114162e-10,1.9635736e-06,1.0115598e-09,1.4625244e-09,2.9585268e-10,1.6006126e-20,1.1020357e-05,1.613526e-07,4.1367363e-09,2.0409877e-07,5.123019e-09,4.1381614e-07,3.871887e-15,7.838118e-09,6.684856e-11,1.5088458e-13,2.9266246e-08,8.63345e-16,8.82729e-19,1.7705142e-10,1.0864282e-10,0.9999194,3.5583918e-09,6.53722e-14,5.2136146e-11
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-65,LINE/CR1,1.0,rnd-1_family-65#LINE/CR1,LINE/CR1,2.9394355e-13,6.4007874e-14,1.0,9.407952e-28,7.5615055e-17,2.8652388e-35,1.8447404e-16,5.971189e-21,2.9593016e-30,9.764458e-17,1.8607707e-20,3.6055423e-17,2.562935e-30,2.0005155e-13,8.23733e-14,6.237306e-18,1.1309021e-14,5.724959e-19,1.4093462e-17,4.0140574e-17,6.668536e-19,2.4073287e-19,4.049269e-28,1.4043767e-17,1.9441333e-23,8.6322515e-29,1.1287121e-30,1.0338155e-28,4.2932797e-15,5.963543e-14,6.443282e-18,6.866142e-18,6.585562e-17,3.684986e-26,3.020411e-14,2.0085987e-15,1.0,4.1782285e-12,6.823231e-09,5.779452e-11,1.054192e-11,1.2418874e-16,4.0016906e-11,9.0353454e-17,9.7584185e-21,1.3891225e-19,2.7272474e-21,6.2301986e-12,8.687829e-39,9.40766e-28,2.9142818e-32,4.312269e-36,1.8447404e-16
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-104,LTR/Gypsy,0.9139894247055054,rnd-1_family-104#Unknown,Unknown,0.005190563,0.99382764,0.00031761412,4.2369507e-07,1.2617861e-06,5.9525074e-09,0.00014653191,0.00051578105,4.798963e-10,0.0012221928,0.00021418436,0.0015901194,1.7140579e-06,0.0004918229,0.0011785714,0.00015013262,0.00018947454,7.702004e-06,4.9904254e-05,3.1348103e-05,2.1507565e-05,2.9156777e-06,2.3780958e-10,4.616945e-06,3.4316392e-05,3.056883e-08,8.695764e-09,1.1084713e-12,2.3021985e-05,0.9139894,0.00014545709,0.07925982,0.0004099397,1.3725052e-08,2.9909761e-05,2.4676492e-06,0.00015172924,1.3178386e-05,1.649132e-06,4.341663e-05,1.0639571e-07,9.611955e-09,4.0219744e-05,1.1624084e-07,3.45515e-05,4.865084e-13,3.065265e-16,2.5981365e-07,9.867631e-11,4.235767e-07,1.9519107e-11,1.6516403e-13,0.00014653191
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-38,LTR/Gypsy,1.0,rnd-1_family-38#LTR/Gypsy,LTR/Gypsy,5.038536e-14,1.0,8.853259e-16,1.4015978e-36,1.8153728e-22,4.8883e-41,1.9186133e-17,2.6182638e-18,4.3216875e-30,3.366101e-19,3.1067728e-21,2.1533803e-19,2.9931987e-34,1.2694965e-17,5.0369248e-14,2.0618186e-21,8.797198e-19,8.222426e-23,1.658839e-18,8.0503855e-24,2.0230284e-20,1.0858853e-20,1.4057626e-24,1.9943014e-21,1.6067161e-26,5.5408376e-26,2.8269177e-19,3.4650745e-29,1.7626592e-12,1.0,3.3132873e-15,1.5216032e-13,9.02348e-13,1.9749432e-12,8.10389e-16,6.584755e-21,1.3726082e-17,9.052642e-19,5.2543234e-17,3.6166425e-18,2.2759068e-30,1.0479526e-24,4.1241794e-18,3.1927848e-25,3.6034288e-22,7.3971455e-36,5.1696866e-32,1.4468053e-20,1e-45,1.540389e-39,1.4000575e-36,1e-44,1.9186133e-17
../flatworms-repeatmodler-results/schistosoma_haematobium-families.fa,rnd-1_family-26,SINE/tRNA,1.0,rnd-1_family-26#SINE/tRNA,SINE/tRNA,1.4320896e-15,1.6850992e-14,1.511952e-17,1.0,2.6678783e-18,4.992818e-10,3.6548817e-20,6.2403616e-25,5.626349e-34,1.3146071e-18,1.1124143e-21,1.4086545e-15,7.1945327e-25,2.5189176e-18,8.2547706e-26,5.3765606e-20,3.8193253e-18,1.5790696e-22,6.379913e-18,1.2170626e-23,3.299049e-20,9.958525e-25,8.446016e-18,8.680706e-19,3.6189062e-26,3.1640041e-24,9.476703e-28,1.9125747e-25,9.3711636e-17,1.6487486e-14,3.4376028e-17,2.0848013e-22,2.3541854e-16,2.5886672e-28,1.4142e-17,1.4007003e-20,1.9093134e-22,5.3127334e-19,8.151502e-21,4.2388322e-19,1.0718367e-30,2.0133045e-26,3.4013515e-25,4.137043e-25,7.415923e-26,8.530771e-31,1.7225703e-33,1.5084442e-23,4.6475174e-11,1.0,6.747435e-19,3.1001174e-21,3.6548817e-20
