file,accession,prediction,probability,original_id,original_classification,DNA,LTR,LINE,SINE,Satellite,Structural_RNA,RC,PLE,Other,DNA/TcMar,DNA/PiggyBac,DNA/hAT,DNA/Merlin,DNA/MULE,DNA/Maverick,DNA/Kolobok,DNA/CMC,DNA/P,DNA/Harbinger,DNA/Dada,DNA/Crypton,DNA/Sola,DNA/Zator,DNA/Academ,DNA/IS3EU,DNA/Zisupton,DNA/Ginger,DNA/Novosib,LTR/ERV,LTR/Gypsy,LTR/DIRS,LTR/Pao,LTR/Copia,LTR/Caulimovirus,LINE/L1,LINE/R2,LINE/CR1,LINE/R1,LINE/I,LINE/RTE,LINE/Rex-Babar,LINE/Dong-R4,LINE/L2,LINE/Proto2,LINE/CRE,LINE/Dualen,LINE/Proto1,LINE/Tad1,SINE/7SL,SINE/tRNA,SINE/5S,SINE/U,RC/Helitron
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-43,DNA/Harbinger,0.9984195828437805,rnd-1_family-43#Unknown,Unknown,0.9999831,1.3764046e-05,2.2758084e-06,3.3726383e-10,3.0021022e-10,5.729061e-09,9.264511e-07,4.7433137e-08,3.8804016e-14,7.4675363e-06,0.00014065046,0.001375707,3.0909614e-08,1.8866569e-05,1.472131e-07,2.8366826e-06,1.7235281e-05,2.2952567e-07,0.9984196,1.549188e-10,1.0396008e-08,2.1629658e-07,2.8183381e-08,4.5882285e-08,3.1013045e-10,3.132953e-13,5.2851622e-11,5.7816822e-09,1.6132551e-09,1.0864319e-05,2.4309927e-06,4.5066253e-07,1.6458443e-08,1.01403004e-17,1.574492e-07,1.018176e-09,2.4646878e-09,1.845679e-07,4.2113254e-07,5.885531e-09,7.0722204e-13,4.1639725e-13,2.473334e-09,6.6982303e-10,1.4974821e-06,2.2523793e-12,7.024936e-21,2.6616507e-09,6.221773e-18,3.338219e-10,3.4413388e-12,6.0551527e-16,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-54,DNA/Dada,0.7100123763084412,rnd-1_family-54#Unknown,Unknown,0.8433347,0.07919907,0.053842444,2.145231e-09,0.0067014494,1.9988443e-08,0.016792119,0.0001302725,2.8056014e-11,0.0037623444,0.023962278,0.019767493,1.96155e-09,0.0053258007,0.0005793108,0.00092507066,0.055425458,6.391113e-05,0.01390923,0.7100124,0.008970253,0.00042908007,6.9584645e-09,3.401261e-05,6.969198e-05,9.734174e-05,4.722098e-07,5.139318e-07,0.028210903,0.031067291,0.018576106,0.0009020466,0.00044272022,1.2554286e-09,0.025348818,0.0051552616,0.005382867,0.00061090157,0.008252962,0.0057094353,0.00031682698,7.478749e-06,0.0019029643,0.00020124963,0.0007946517,3.0597337e-06,3.083939e-16,0.00015597261,8.214632e-13,1.6412102e-09,5.0216664e-10,1.0327086e-12,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-35,LTR/Gypsy,0.9272470474243164,rnd-1_family-35#Unknown,Unknown,0.0009775748,0.9564456,0.04167956,2.3253028e-06,0.00044274036,1.31042635e-08,0.0004036548,4.8715818e-05,5.9320292e-15,5.4021607e-06,0.0008023927,9.097136e-05,2.999307e-11,9.741901e-07,1.5768181e-06,3.7232045e-08,4.1202334e-06,9.855884e-08,1.669941e-05,5.211039e-05,3.1296988e-06,1.801213e-09,3.1949689e-15,1.6784277e-10,4.343559e-09,6.1826305e-10,6.573215e-12,5.5119298e-08,0.001071767,0.92724705,0.027804453,0.00025791934,6.446526e-05,5.141226e-13,0.038704876,0.0006344575,0.0014999153,2.344353e-05,0.0004485637,0.00021198671,2.5393456e-05,1.292048e-08,0.00011003873,2.6172881e-07,2.9325897e-06,7.900094e-08,1.6573536e-14,1.7594464e-05,1.1647128e-10,2.3241635e-06,7.3629386e-10,2.8643754e-10,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-1,DNA/Dada,0.5298518538475037,rnd-1_family-1#Unknown,Unknown,0.5358393,0.09552208,0.22441743,3.5763622e-07,0.061569415,1.0490451e-10,0.04193389,0.04071753,5.1514983e-11,0.00024589564,0.0007794005,0.00044655992,9.747151e-10,0.00020699853,1.0338355e-05,0.00090112997,0.00022163652,2.9342122e-05,0.0005811478,0.52985185,0.002516147,1.33714275e-05,9.240809e-12,6.620861e-07,9.871209e-07,9.100677e-06,1.2483955e-05,1.2177006e-05,0.0065542837,0.06470268,0.020279491,0.001356311,0.0026293164,2.0103843e-09,0.008054891,0.022637405,0.043000627,0.00084200053,0.054194424,0.003721825,0.056234263,1.8979089e-06,0.011359801,8.9401314e-05,0.020375596,0.0024600984,4.1864717e-11,0.0014451804,1.2360425e-10,3.0346968e-07,5.3690517e-08,3.5237746e-10,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-16,DNA/P,0.22066640853881836,rnd-1_family-16#Unknown,Unknown,0.65005964,0.22333317,0.076939985,0.00035072817,0.0017107176,9.875685e-06,0.04712943,0.0004665046,8.6449225e-12,0.0017641042,0.0037569783,0.094721176,2.6925142e-07,0.00035513932,5.715188e-06,5.110435e-05,0.0033976445,0.22066641,0.14584018,5.3702766e-05,0.0003603826,5.657672e-06,1.0186703e-09,9.667959e-06,2.8553515e-09,8.8978084e-07,1.6217348e-07,0.17907044,0.0019740292,0.017017722,0.2032391,5.2911077e-05,0.0010494113,8.200971e-14,0.063008234,0.0025605948,0.00073402724,0.008475794,0.00083752786,0.00023397886,8.6079005e-08,2.6944466e-08,2.9613248e-05,1.1637507e-05,0.0003974967,5.1657702e-05,5.676984e-11,0.0005993082,1.3666306e-07,0.00034953613,2.0124888e-07,8.5409204e-07,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-81,LTR/Gypsy,0.7862561345100403,rnd-1_family-81#Unknown,Unknown,0.13366352,0.8443671,0.02193874,7.172993e-17,2.8214485e-05,2.52029e-19,2.4615297e-06,1.2532356e-09,1.8531758e-21,4.5532062e-07,0.013751473,0.014237709,3.034234e-15,0.00023636989,1.9993423e-07,3.19977e-07,4.9007467e-05,3.0306342e-09,0.07433721,0.03077044,0.00028032597,1.850299e-11,1.0949085e-17,1.0082008e-08,4.245929e-09,3.0137037e-13,4.3913747e-13,2.3924953e-09,0.009634945,0.78625613,0.04840222,2.9912977e-07,7.352654e-05,1.3276799e-17,0.021715079,2.7286376e-05,0.00018437837,3.720996e-11,1.631688e-06,3.387394e-06,5.6218172e-09,1.1749377e-14,6.958228e-06,1.6273006e-12,1.9506976e-09,2.0243454e-10,1.7474824e-22,9.639913e-09,4.633244e-25,7.1395084e-17,3.3447064e-19,3.784652e-22,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-15,DNA/CMC,0.33451324701309204,rnd-1_family-15#Unknown,Unknown,0.47743678,0.41972885,0.042398974,1.501375e-10,0.00010330115,3.1677033e-11,0.004171945,0.056160145,1.15382335e-07,0.0037841783,0.0021209307,0.0019985808,3.368959e-08,0.021077767,0.039110705,0.013237335,0.33451325,5.177584e-05,0.012549889,0.018298088,0.030355515,0.00019969106,3.828101e-09,0.00012378024,4.2364313e-06,6.5063756e-07,1.0334904e-05,3.1986463e-08,0.019592302,0.045492947,0.31405422,0.006499713,0.034089625,4.1848455e-08,0.0117002325,0.00027874537,0.00051695376,7.89664e-05,0.003578262,0.000457143,4.394134e-06,5.1548127e-06,0.00016653695,2.3842615e-05,0.025412075,8.001145e-05,5.2156873e-11,9.665482e-05,1.2696121e-14,1.379107e-10,1.2204615e-11,9.500163e-15,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-72,LTR/Gypsy,0.63380366563797,rnd-1_family-72#Unknown,Unknown,0.17418201,0.7685791,0.011921868,2.4531315e-07,0.00022555178,4.929462e-07,0.040347338,0.0047419765,1.4870433e-06,0.0067495503,0.0062562004,0.015654849,1.2477205e-06,0.032395557,0.0056121736,0.0005415423,0.07293451,0.004231958,0.019482812,0.002910855,0.0031997638,0.0006787218,1.0177157e-05,0.0016073475,0.0011732272,0.0006994677,4.203608e-05,2.2206292e-08,0.026676549,0.63380367,0.040362485,0.020782731,0.046943046,1.0620759e-05,0.002621725,0.00015721846,0.0026895318,0.00025342254,0.0020150254,0.0008170528,1.7270905e-06,5.9368176e-07,0.0017247297,0.0014410738,0.00018194977,5.0751314e-08,3.2490098e-12,1.7765635e-05,1.1416635e-10,2.2543196e-07,1.9731944e-08,3.5059393e-11,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-21,DNA/Maverick,0.7970308065414429,rnd-1_family-21#LINE/L2,LINE/L2,0.8733198,0.112350516,0.0012026249,5.1999278e-14,1.964659e-07,1.0537218e-12,0.013050094,7.677236e-05,5.831852e-12,0.041048273,0.00018160163,0.0021061024,2.9938704e-08,0.015819183,0.7970308,0.0024592702,0.007815842,0.00024600103,0.001488434,3.1762826e-05,0.0023631363,4.2463493e-05,8.701162e-10,0.00057225756,0.0020564047,5.792172e-05,2.2974874e-07,2.499378e-12,0.037415624,0.014965443,0.059567634,0.0001877762,0.0002140283,2.2262838e-09,0.00087145815,2.9417995e-05,1.003535e-05,1.5507924e-06,0.00018664733,4.9553113e-05,1.2147102e-09,2.0697313e-09,4.1018964e-05,7.4162754e-06,2.6988146e-06,3.4513648e-12,6.626954e-17,2.8246675e-06,2.288961e-20,2.1769492e-14,3.0228444e-14,1.3186119e-18,0.0
../amphibians/pleurodeles_waltl-families.fa,rnd-1_family-77,LINE/L1,0.3459467589855194,rnd-1_family-77#Unknown,Unknown,0.362816,0.06029902,0.4142011,1.2521866e-05,0.0019194639,6.782122e-07,0.15997258,0.00077805074,6.0872406e-07,0.0045934,0.00025666587,0.09231679,3.8304097e-06,0.0011909573,6.5535394e-05,0.00016654994,0.018712506,0.0012019544,0.2402212,0.00053733354,0.0021376251,9.403205e-06,1.6811365e-06,4.960174e-05,0.0006748522,2.7595506e-06,9.46543e-06,0.00066388294,0.036140382,0.010921604,0.012654328,2.0852722e-05,0.0005616161,2.3580152e-07,0.34594676,0.00015239319,0.04480123,5.2271673e-05,0.0054284586,0.010838612,0.00041482958,1.7098523e-06,0.006391677,5.2511703e-05,6.875951e-05,3.255244e-05,2.4018763e-07,1.9170313e-05,9.140657e-10,1.2313433e-05,5.2982678e-08,1.5453485e-07,0.0
